"price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
3102.780029,3116.76001,3100.090088,3109.649902,313592000,3109.649902,2021-03-17,"^STI",0.0013330795864992,0.0013330795864992
3132.100098,3147.669922,3130.649902,3137.659912,345525500,3137.659912,2021-03-18,"^STI",0.00900744806738052,0.00900744806738052
3131.73999,3148.97998,3127.840088,3134.540039,354890100,3134.540039,2021-03-19,"^STI",-0.00099433115363079,-0.00099433115363079
3130.689941,3149.01001,3123.959961,3128.080078,200179000,3128.080078,2021-03-22,"^STI",-0.00206089599099868,-0.00206089599099868
3124.409912,3148.48999,3120.919922,3131.73999,367222800,3131.73999,2021-03-23,"^STI",0.00117001864042443,0.00117001864042443
3127.120117,3136.919922,3121.600098,3133.310059,367641200,3133.310059,2021-03-24,"^STI",0.000501340789788918,0.000501340789788918
3120.580078,3147.459961,3120.360107,3141.709961,323327900,3141.709961,2021-03-25,"^STI",0.0026808397004543,0.0026808397004543
3152.290039,3165.820068,3145.449951,3157.949951,301532700,3157.949951,2021-03-26,"^STI",0.00516915635166737,0.00516915635166737
3165.97998,3183.929932,3160.879883,3175.570068,282374000,3175.570068,2021-03-29,"^STI",0.00557960616013564,0.00557960616013564
3201.629883,3204.23999,3187.919922,3190.889893,275395900,3190.889893,2021-03-30,"^STI",0.00482427553854881,0.00482427553854881
3200.350098,3200.48999,3165.340088,3165.340088,257104800,3165.340088,2021-03-31,"^STI",-0.00800710957029571,-0.00800710957029571
3187.169922,3188.449951,3170.219971,3181.679932,187913300,3181.679932,2021-04-01,"^STI",0.00516211324715021,0.00516211324715021
3205.909912,3212.48999,3203.649902,3209.73999,206109200,3209.73999,2021-04-05,"^STI",0.00881925856770938,0.00881925856770938
3219.679932,3221.100098,3194.879883,3207.629883,237625300,3207.629883,2021-04-06,"^STI",-0.000657407455611381,-0.000657407455611381
3215.219971,3221.850098,3191.439941,3195.76001,259398300,3195.76001,2021-04-07,"^STI",-0.00370051203940602,-0.00370051203940602
3198.820068,3201.830078,3184.540039,3186.399902,200493600,3186.399902,2021-04-08,"^STI",-0.00292891455262934,-0.00292891455262934
3189.800049,3190.830078,3177.469971,3184.540039,177550000,3184.540039,2021-04-09,"^STI",-0.00058368787886065,-0.00058368787886065
3175.72998,3182.300049,3160.76001,3173.929932,237001600,3173.929932,2021-04-12,"^STI",-0.00333175493793814,-0.00333175493793814
3176.48999,3192.610107,3174.310059,3187.899902,222916100,3187.899902,2021-04-13,"^STI",0.00440147397683632,0.00440147397683632
3188.409912,3189.449951,3174.600098,3179.389893,170182000,3179.389893,2021-04-14,"^STI",-0.00266947183462729,-0.00266947183462729
3189.159912,3189.709961,3176.080078,3184.77002,219873700,3184.77002,2021-04-15,"^STI",0.00169218849561203,0.00169218849561203
3184.649902,3203.560059,3184.310059,3201.76001,295252800,3201.76001,2021-04-16,"^STI",0.00533476197442972,0.00533476197442972
3204.139893,3214.929932,3200.719971,3209.719971,453912800,3209.719971,2021-04-19,"^STI",0.00248612043848961,0.00248612043848961
3207.98999,3211,3187.399902,3192.169922,320102600,3192.169922,2021-04-20,"^STI",-0.00546778197430475,-0.00546778197430475
3163.47998,3172.870117,3145.280029,3155.060059,295932400,3155.060059,2021-04-21,"^STI",-0.0116252780731514,-0.0116252780731514
3171.780029,3188.709961,3170.409912,3187.780029,219207200,3187.780029,2021-04-22,"^STI",0.0103706330111417,0.0103706330111417
3172.679932,3194.040039,3167,3194.040039,203215800,3194.040039,2021-04-23,"^STI",0.00196375218586331,0.00196375218586331
3187.719971,3211.540039,3183.370117,3204.899902,241691100,3204.899902,2021-04-26,"^STI",0.00340003972004066,0.00340003972004066
3203.659912,3219.97998,3200.620117,3214.429932,217519600,3214.429932,2021-04-27,"^STI",0.00297358116989943,0.00297358116989943
3206.610107,3220.27002,3205.5,3219.560059,199817500,3219.560059,2021-04-28,"^STI",0.0015959679036488,0.0015959679036488
3226.919922,3235.719971,3218.070068,3221.580078,189522200,3221.580078,2021-04-29,"^STI",0.000627420816192936,0.000627420816192936
3218.899902,3237.22998,3217.219971,3218.27002,304074700,3218.27002,2021-04-30,"^STI",-0.00102746413867039,-0.00102746413867039
3221.790039,3221.939941,3165.77002,3184.76001,295952700,3184.76001,2021-05-03,"^STI",-0.010412429594705,-0.010412429594705
3183.080078,3186,3168.560059,3179.129883,187176600,3179.129883,2021-05-04,"^STI",-0.00176783399135938,-0.00176783399135938
3157.199951,3160.300049,3140.48999,3153.590088,300248700,3153.590088,2021-05-05,"^STI",-0.00803358023733824,-0.00803358023733824
3160.01001,3178.23999,3157.879883,3173,337249500,3173,2021-05-06,"^STI",0.00615486206462235,0.00615486206462235
3177.98999,3204.399902,3173.209961,3200.26001,232678000,3200.26001,2021-05-07,"^STI",0.00859124172707215,0.00859124172707215
3203.850098,3206.23999,3177.600098,3182.409912,221621900,3182.409912,2021-05-10,"^STI",-0.00557770241924804,-0.00557770241924804
3158.330078,3166.590088,3137.459961,3144.27002,349508800,3144.27002,2021-05-11,"^STI",-0.0119845943969019,-0.0119845943969019
3126.5,3142.600098,3115.75,3123.26001,298376800,3123.26001,2021-05-12,"^STI",-0.00668199927689417,-0.00668199927689417
3105.73999,3121.26001,3023.949951,3055.02002,663344700,3055.02002,2021-05-14,"^STI",-0.0218489622322543,-0.0218489622322543
3047.879883,3087.199951,3027.379883,3079.689941,339127000,3079.689941,2021-05-17,"^STI",0.008075207638083,0.008075207638083
3100.899902,3145.320068,3099.199951,3142.629883,384164100,3142.629883,2021-05-18,"^STI",0.0204371034765802,0.0204371034765802
3124.949951,3133.120117,3100.949951,3104.209961,254244900,3104.209961,2021-05-19,"^STI",-0.0122254046548186,-0.0122254046548186
3114.419922,3128.77002,3102.75,3109.810059,277513200,3109.810059,2021-05-20,"^STI",0.00180403325495293,0.00180403325495293
